id,codigo,nombre,Nombre Generico,Funcion,unidad_de_medida,composicion
96,PIP01,FIPRONIL,FIPRONIL,INSECTICIDA,CC,
97,URE01,UREA YARA,UREA,ABONO,GRAMOS,
98,URE02,UREA NUTRIMON,UREA,ABONO,GRAMOS,
99,URE03,UREA DIABONO,UREA,ABONO,GRAMOS,
100,URE04,UREA PRECISAGRO,UREA,ABONO,GRAMOS,
101,URE05,NITRO XTEND® XP + S,UREA,ABONO,GRAMOS,
102,URE06,SULFATO DE AMONIO,UREA,ABONO,GRAMOS,
103,POT01,Qrop™ KS,POTASIO NITRATO,ABONO,GRAMOS,
104,POT02,CLORURO DE POTASIO  KCL,POTASIO,ABONO,GRAMOS,
105,POT03,SOLU POTACIO,POTASIO,ABONO,GRAMOS,
106,POT04,LLENAMAX POTASIO,POTASIO,ABONO,GRAMOS,
107,POT05,POTASH PKG80,POTASIO,ABONO,GRAMOS,
108,POT06,CIBUSIL,POTASIO-SILICIO,ABONO,LITROS,
109,FOS01,DAP ,FOSFORO,ABONO,GRAMOS,
110,FOS02,SOLUFOS 44(17-44-0),FOSFORO,ABONO,GRAMOS,
111,FOS03,SOLUPOPTACIO,FOSFORO,ABONO,GRAMOS,
112,FOS04,SOLUTEC INICIO  13-36-12,FOSFORO,ABONO,GRAMOS,
113,FOS05,SOLUTEC PRODUCCION  5-10-43,FOSFORO,ABONO,GRAMOS,
114,BOR02,BORO ZINCO 240  ,BORO,ABONO,GRAMOS,
115,BOR01,BORO,BORO,ABONO,LITROS,
116,SIL02,AGROSIL ZEO, SILICIO,ABONO,LITROS,
117,SIL03,TECNOSIL, SILICIO,ABONO,LITROS,
118,SIL04,TIERRA DE DIATOMEAS , SILICIO,ABONO,GRAMOS,
119,SIL01, SILICIO, SILICIO,ABONO,GRAMOS,
120,AZU01,KUMULUS DF ( AZUFRE),AZUFRE,ABONO,GRAMOS,
121,ACI01,NATURAMIN WSP,AMINOACIDOS,ABONO,GRAMOS,
122,ACI02,B-ZUCAR,AMINOACIDOS,ABONO,GRAMOS,
123,ACI03,TERRA SORB FOLIAR,AMINOACIDOS,ABONO,LITROS,
124,ACI04,RAZINE,AMINOACIDOS,ABONO,LITROS,
125,MAO01,HUMUS ,MATERIA ORGANICA,ABONO,LITROS,
126,MEL01,MELAZA,FERTILIZANTE  ORGANICO,ABONO,KILOS,
127,COA01,PEGAL PH AD,COADYUDANTE,,CC,
128,COA02,SILIKON ,COADYUDANTE,,,
129,COA03,SPRAYFIX,COADYUDANTE,,,
130,BOL01,BOLSAS CAMPO C/LOGO,,PROTECCION FRUTA,ROLLO,
